Temps,Position X,Position Y,Position Z
146,1912,0,0,0
146,2002,0,0,0
146,2046,0,0,0
146,209,0,0,0
146,2135,0,0,0
146,2216,0,0,0
146,2261,0,0,0
146,2308,0,0,0
146,2354,0,0,0
146,2401,0,0,0
146,2447,0,0,0
146,2494,0,0,0
146,2542,0,0,0
146,2588,0,0,0
146,2637,0,0,0
146,2687,0,0,0
146,273,0,0,0
146,2771,0,0,0
146,2814,0,0,0
146,2858,0,0,0
146,2902,0,0,0
146,2947,0,0,0
146,2993,0,0,0
146,3036,0,0,0
146,308,0,0,0
146,3126,0,0,0
146,317,0,0,0
146,3213,0,0,0
146,3257,0,0,0
146,3301,0,0,0
146,3347,0,0,0
146,3403,0,0,0
146,3449,0,0,0
146,3497,0,0,0
146,3543,0,0,0
146,359,0,0,0
146,3634,0,0,0
146,3681,0,0,0
146,373,0,0,0
146,3777,0,0,0
146,3831,0,0,0
146,3876,0,0,0
146,3921,0,0,0
146,3966,0,0,0
146,4013,0,0,0
146,4059,0,0,0
146,4104,0,0,0
146,4149,0,0,0
146,4197,0,0,0
146,4242,0,0,0
146,4287,0,0,0
146,4335,0,0,0
146,4379,0,0,0
146,4423,0,0,0
146,4469,0,0,0
146,4516,0,0,0
146,4571,0,0,0
146,4614,0,0,0
146,4663,0,0,0
146,4708,0,0,0
146,4752,0,0,0
146,4799,0,0,0
146,4845,0,0,0
146,4893,0,0,0
146,4943,0,0,0
146,4991,0,0,0
146,5038,0,0,0
146,5083,0,0,0
146,5129,0,0,0
146,5209,0,0,0
146,5261,0,0,0
146,5308,0,0,0
146,5356,0,0,0
146,5403,0,0,0
146,5452,0,0,0
146,5502,0,0,0
146,555,0,0,0
146,5601,0,0,0
146,5652,0,0,0
146,5702,0,0,0
146,575,0,0,0
146,5796,0,0,0
146,5845,0,0,0
146,5896,0,0,0
146,5944,0,0,0
146,5994,0,0,0
146,605,0,0,0
146,6097,0,0,0
146,6146,0,0,0
146,6196,0,0,0
146,625,0,0,0
146,6304,0,0,0
146,6353,0,0,0
146,6405,0,0,0
146,646,0,0,0
146,6511,0,0,0
146,6564,0,0,0
146,662,0,0,0
146,667,0,0,0
146,6729,0,0,0
146,6781,0,0,0
146,683,0,0,0
146,6883,0,0,0
146,6935,0,0,0
146,6985,0,0,0
146,7038,0,0,0
146,7095,0,0,0
146,7144,0,0,0
146,7201,0,0,0
146,7255,0,0,0
146,7304,0,0,0
146,7362,0,0,0
146,7417,0,0,0
146,7465,0,0,0
146,752,0,0,0
146,7574,0,0,0
146,7622,0,0,0
146,7682,0,0,0
146,7743,0,0,0
146,779,0,0,0
146,7848,0,0,0
146,7899,0,0,0
146,7946,0,0,0
146,8002,0,0,0
146,805,0,0,0
146,8098,0,0,0
146,8154,0,0,0
146,8208,0,0,0
146,8257,0,0,0
146,8308,0,0,0
146,8359,0,0,0
146,8414,0,0,0
146,8467,0,0,0
146,8528,0,0,0
146,8578,0,0,0
146,8632,0,0,0
146,8693,0,0,0
146,8746,0,0,0
146,8796,0,0,0
146,8855,0,0,0
146,8906,0,0,0
146,8957,0,0,0
146,9009,0,0,0
146,9059,0,0,0
146,911,0,0,0
146,9163,0,0,0
146,9219,0,0,0
146,9271,0,0,0
146,9322,0,0,0
146,9373,0,0,0
146,9429,0,0,0
146,9479,0,0,0
146,9535,0,0,0
146,959,0,0,0
146,964,0,0,0
146,9696,0,0,0
146,975,0,0,0
146,9799,0,0,0
146,9856,0,0,0
146,9909,0,0,0
146,9964,0,0,0
147,0021,0,0,0
147,0079,0,0,0
147,0136,0,0,0
147,0189,0,0,0
147,0243,0,0,0
147,0299,0,0,0
147,035,0,0,0
147,0407,0,0,0
147,0461,0,0,0
147,0512,0,0,0
147,0572,0,0,0
147,0628,0,0,0
147,068,0,0,0
147,0741,0,0,0
147,0797,0,0,0
147,0854,0,0,0
147,0905,0,0,0
147,0962,0,0,0
147,1025,0,0,0
147,1078,0,0,0
147,1135,0,0,0
147,1198,0,0,0
147,1257,0,0,0
147,1311,0,0,0
147,1371,0,0,0
147,1431,0,0,0
147,1486,0,0,0
147,1538,0,0,0
